0 1 309.0723 2
0 2 56.116402 2
0 3 69.505997 2
1 253 234.49626 2
1 254 357.17001 2
2 4 169.983 2
3 263 105.35198 2
4 5 255.91 2
6 7 286.93698 2
6 8 71.412399 2
7 257 80.038849 2
8 20 335.47198 2
9 10 93.426949 2
10 17 107.31511 2
10 21 328.08905 2
11 12 302.73999 1
11 15 87.978302 1
12 79 231.403 1
13 14 167.326 1
13 77 347.14099 1
14 16 40.856499 2
14 18 110.038 2
15 18 86.7985 1
16 17 108.961 2
17 30 291.27301 2
17 248 205.034 2
18 19 50.625999 2
19 20 17.6283 2
21 250 88.5541 2
22 23 491.66638 2
22 32 210.254 2
22 41 181.233 2
22 43 263.647 2
23 25 102.15205 2
23 29 276.94617 2
24 25 199.90401 2
24 41 593.91803 2
24 247 286.203 2
24 249 324.02774 2
25 27 276.69971 2
25 30 327.35599 2
26 27 163.87529 2
26 28 172.50301 2
26 250 454.26501 2
26 254 531.02264 2
27 29 129.85783 2
27 31 293.17599 2
28 29 174.726 2
28 33 438.23401 2
28 251 113.77 2
30 31 299.384 2
30 249 203.022 2
31 250 218.464 2
32 33 239.924 2
33 34 251.58701 2
34 35 249.724 2
35 36 198.94501 2
36 37 361.379 2
37 38 69.060799 2
38 45 495.827 2
38 137 406.76901 2
39 40 304.62543 2
39 41 278.37799 2
39 42 102.83 2
39 133 373.159 2
40 75 261.66342 2
40 247 293.46112 2
41 44 269.19901 2
42 137 738.73102 2
43 44 169.34399 2
43 45 98.380203 2
44 46 97.755302 2
45 46 164.60001 2
47 48 625.96503 2
47 179 124.013 2
47 239 294.763 2
47 280 435.05099 2
48 49 74.0914 2
48 50 151.095 2
49 51 153.998 2
50 56 171.18869 2
50 57 284.19101 2
51 55 133.60699 2
52 53 174.07401 2
52 54 289.46899 2
52 240 59.376122 2
53 57 309.70001 2
53 58 67.641296 2
53 59 274.4874 2
54 67 198.84599 2
54 68 59.197899 2
54 70 235.743 2
55 65 429.435 2
55 127 240.90601 2
55 179 471.80499 2
56 59 58.544376 2
56 61 393.79599 2
56 62 323.7738 2
56 64 70.416763 2
56 65 507.784 2
57 118 265.31671 2
57 239 785.60602 2
58 66 40.863098 2
60 61 70.562187 2
60 62 236.60104 2
60 63 255.85025 2
62 65 350.19894 2
62 75 380.78134 2
63 72 188.04713 2
63 75 310.00323 2
63 247 255.85327 2
64 67 326.24164 2
65 130 85.366302 2
65 133 439.45499 2
66 67 61.082298 2
68 90 163.722 2
68 240 290.13644 2
69 70 222.733 1
69 73 117.279 2
69 102 107.365 1
69 106 116.632 2
70 71 117.219 2
71 72 192.26019 2
71 73 224.313 1
71 74 100.88 2
72 246 293.72198 2
73 76 106.923 1
73 78 241.79401 2
74 244 65.035599 2
76 77 182.588 1
76 79 102.528 1
76 102 115.521 1
78 245 194.933 2
78 248 290.17001 2
79 103 114.316 1
80 81 158.86169 1
81 107 257.96082 1
82 83 363.362 1
82 105 64.822914 1
82 107 85.472954 1
83 95 38.0103 1
84 85 81.290703 2
84 92 127.088 1
84 240 160.605 1
84 369 30.48844 2
85 86 58.310013 1
85 87 43.0266 2
85 88 46.4552 1
86 100 41.965778 1
86 105 114.35748 1
87 88 37.9599 1
87 90 180.162 2
88 89 98.881401 1
89 96 39.981899 1
90 99 105.726 2
90 106 115.739 2
91 92 77.105858 1
91 93 51.527657 1
93 94 445.06738 2
94 369 114.63 2
94 371 123.8002 2
95 96 26.181801 1
96 97 192.664 1
97 101 53.5555 1
97 102 116.456 1
97 106 106.499 1
98 99 41.231098 2
98 104 113.966 1
100 241 49.072773 1
101 104 35.543201 1
102 103 107.393 1
103 104 134.129 1
107 120 29.269712 2
108 109 59.761501 2
108 110 919.60687 2
108 195 31.741377 2
108 197 42.058605 1
109 111 27.073431 1
109 112 159.7861 2
110 124 258.19501 2
111 197 60.91996 1
111 238 17.380449 1
112 113 89.68541 2
113 114 229.44089 1
113 115 98.536018 2
114 121 39.421543 1
115 117 47.522095 2
116 117 144.10849 2
116 118 186.88306 2
118 119 75.293251 2
118 120 189.65959 2
119 124 20.677818 2
120 370 129.99231 1
121 122 39.946388 1
122 123 80.373871 1
123 235 28.66 1
